KRAJ;MĚSTO;ORIGINÁLNÍ ZÁZNAM;GPS;PATRO / NÁSTUPIŠTĚ /atd.
Ústecký kraj;Ústí nad Labem - Trmice;WC (1E). Hypermarket Globus, Tyršova 869, 400 04 Ústí nad Labem - Trmice;"50°39'3.929"", 14°0'4.628""";
Ústecký kraj;Ústí nad Labem - Klíše;WC (2E). Hypermarket Kaufland, Okružní 3368/7, 400 01 Ústí nad Labem – Klíše;"50°39'46.551"", 14°1'18.485""";
Ústecký kraj;Ústí nad Labem - Všebořice;WC (2E). Hypermarket Kaufland, Všebořická 389, 400 01 Ústí nad Labem – Všebořice;"50°41'2.911"", 13°59'40.566""";
Ústecký kraj;Ústí nad Labem;WC (1E). Koupaliště, U Koupaliště 575/11, 400 01 Ústí nad Labem;"50°40'2.92"", 14°0'34.053""";
Ústecký kraj;Ústí nad Labem;WC (1E). Muzeum města Ústí nad Labem, Masarykova 1000/3, 400 01 Ústí nad Labem;"50°39'38.670"", 14°2'4.858""";
Ústecký kraj;Ústí nad Labem;WC (3E). Obchodní centrum Forum Ústí nad Labem, Bílinská 3490/6, 400 01 Ústí nad Labem;"50°39'31.178"", 14°2'27.868""";
Ústecký kraj;Ústí nad Labem;WC (4E). Plavecký areál Klíše, U Koupaliště 11, 400 01 Ústí nad Labem;"50°40'2.92"", 14°0'34.053""";
Ústecký kraj;Ústí nad Labem - Střekov;WC (1E). Termální koupaliště Brná, Lázeňská 459, 400 03 Ústí nad Labem - Střekov;"50°37'35.696"", 14°3'56.215""";
Ústecký kraj;Ústí nad Labem;WC (4E). Úřad městského obvodu Ústí nad Labem – město, Velká Hradební 8A, 400 01 Ústí nad Labem;"50°39'37.128"", 14°2'14.150""";
Ústecký kraj;Ústí nad Labem - Střekov;WC (4E). Železniční stanice Ústí nad Labem - Střekov, U Stanice 827/9, 400 03 Ústí nad Labem - Střekov;"50°38'59.88"", 14°2'53.44""";
Ústecký kraj;Ústí nad Labem;WC (2E). Železniční stanice Ústí nad Labem hlavní nádraží (podchod), U Nádraží 965/6, 400 01 Ústí nad Labem;"50°39'34.843"", 14°2'38.967""";podchod
Ústecký kraj;Ústí nad Labem;WC (1E). Železniční stanice Ústí nad Labem-Západ, Tovární 975/3, 400 01 Ústí nad Labem;"50°39'30.382"", 14°1'46.563""";
Ústecký kraj;Varnsdorf;WC (1E). Hypermarket Albert, Národní 3314, 407 47 Varnsdorf;"50°54'35.903"", 14°37'19.419""";
Ústecký kraj;Varnsdorf;WC (2E). Hypermarket Kaufland, Československé mládeže, 407 47 Varnsdorf;"50°54'46.436"", 14°36'43.840""";
Ústecký kraj;Varnsdorf;WC (1E). Železniční stanice Varnsdorf, Nádražní 884, 407 47 Varnsdorf;"50°54'12.318"", 14°38'17.830""";
Ústecký kraj;Vilémov;WC (1E). Železniční stanice Mikulášovice, Mikulášovice 130, 407 80 Vilémov;"50°59'04.14"", 14°20'12.99""";
Ústecký kraj;Žatec;WC (1E). Železniční stanice Žatec, třída Rooseveltova 699, 438 01 Žatec;"50°21'39.69"", 13°49'24.18""";
Liberecký kraj;Česká Lípa – Lada;WC (1E). Hobby market OBI Česká Lípa – Lada, Borská 18, 470 01 Česká Lípa – Lada;"50°41'58.884"", 14°32'37.205""";
Liberecký kraj;Česká Lípa;WC (2E). Hypermarket Kaufland, Mimoňská 3090, 470 01 Česká Lípa;"50°40'50.675"", 14°32'27.44""";
Liberecký kraj;Česká Lípa;WC (1E). Veřejné WC, Panská 218, 470 01 Česká Lípa;"50°41'12.106"", 14°32'17.952""";
Liberecký kraj;Česká Lípa;WC (2E). Veřejné WC, U Vodního hradu 2975, 470 01 Česká Lípa;"50°41'3.131"", 14°32'20.098""";
Liberecký kraj;Česká Lípa;WC (1E). Železniční stanice Česká Lípa hl.n. - nová budova, 470 01 Česká Lípa;"50°40'37.88"", 14°31'57.101""";nová budova
Liberecký kraj;Desná;WC (2E). Multifunkční budova (ordinace + WC), Krkonošská 500, 468 61 Desná II;"50°45'19.511"", 15°18'49.948""";
Liberecký kraj;Frýdlant;WC (1E). Železniční stanice Frýdlant, Nádražní, 464 01 Frýdlant;"50°55'8.212"", 15°4'24.249""";
Liberecký kraj;Hejnice;WC (1E). Železniční zastávka Hejnice – výpravní budova, Nádražní 421, 463 62 Hejnice;"50°52'45.958"", 15°11'5.562""";
Liberecký kraj;Hrádek nad Nisou;WC (2E). Rekreační areál Kristýna, Žitavská 745, 463 34 Hrádek nad Nisou;"50°51'48.595"", 14°49'30.36""";WC na pláži jezera a WC + soc. zařízení v autokempu
Liberecký kraj;Chrastava;WC (1E). Čerpací stanice Benzina, Nádražní, 463 31 Chrastava;"50°48'48.516"", 14°57'45.840""";
Liberecký kraj;Jablonec nad Jizerou;WC (1E). Veřejné WC, Jablonec nad Jizerou 402, 512 43 Jablonec nad Jizerou;"50°42'10.721"", 15°25'45.176""";
Liberecký kraj;Jablonec nad Nisou;WC (2E). Autobusové nádraží, Luční 379/3, 466 01 Jablonec nad Nisou;"50°43'23.665"", 15°10'25.164""";
Liberecký kraj;Jablonec nad Nisou;WC (1E). Čerpací stanice Benzina, Březová 4525/33, 466 02 Jablonec nad Nisou;"50°44'1.739"", 15°11'1.193""";
Liberecký kraj;Jablonec nad Nisou;WC (1E). Hobby market OBI Jablonec nad Nisou, Želivského 5231/2a, 466 05 Jablonec nad Nisou;"50°44'21.037"", 15°9'29.492""";
Liberecký kraj;Jablonec nad Nisou;WC (2E). Hypermarket Kaufland, Jateční 5156/4, 466 01 Jablonec nad Nisou;"50°42'56.77"", 15°9'27.351""";
Liberecký kraj;Jablonec nad Nisou;WC (2E). Hypermarket Kaufland, U Kostela 4754/37, 466 01 Jablonec nad Nisou;"50°44'20.149"", 15°10'6.677""";
Liberecký kraj;Jablonec nad Nisou;WC (2E). Konečná tramvajová zastávka, Tyršovy sady, 466 01 Jablonec nad Nisou ;"50°43'21.523"", 15°9'49.174""";
Liberecký kraj;Jablonec nad Nisou - Mšeno;WC (2E). Základní škola Mozartova, Mozartova 24, 466 04 Jablonec nad Nisou – Mšeno;"50°44'17.455"", 15°9'48.575""";
Liberecký kraj;Jablonec nad Nisou;WC (2E). Železniční stanice Jablonec nad Nisou, Nádražní 1090/32, 466 01 Jablonec nad Nisou;"50°43'15.169"", 15°9'39.072""";
Liberecký kraj;Jablonné v Podještědí;WC (1E). Čerpací stanice Benzina, 471 25 Jablonné v Podještědí (E35), č.p. 19;"50°46'30.994"", 14°46'15.407""";
Liberecký kraj;Jilemnice;WC (1E). Společenský dům Jilm, Roztocká 500, 514 01 Jilemnice;"50°36'16.167"", 15°30'36.520""";
Liberecký kraj;Jilemnice;WC (1E). Tržnice řemesel, Kostelní 1, 514 01 Jilemnice;;
Liberecký kraj;Jilemnice;WC (1E). Všesportovní areál Hraběnka, K Břízkám, 514 01 Jilemnice;"50°36'27.063"", 15°30'3.456""";
Liberecký kraj;Liberec;WC (1E). Dopravní terminál, Fügnerova 643, 460 01 Liberec ;"50°45'56.025"", 15°3'26.823""";
Liberecký kraj;Liberec;WC (1E). Hobby market OBI Liberec, Letná 606/46, 460 01 Liberec;"50°46'54.321"", 15°2'20.684""";
Liberecký kraj;Liberec - Rochlice;WC (2E). Hypermarket Kaufland, Dr. Milady Horákové 586/90, 460 01 Liberec - Rochlice;"50°45'6.62"", 15°3'20.263""";
Liberecký kraj;Liberec - Staré Pavlovice;WC (2E). Hypermarket Kaufland, Polní 604/29, 460 01 Liberec - Staré Pavlovice;"50°46'58.773"", 15°2'17.291""";
Liberecký kraj;Liberec - Staré Město;WC (6E). Krajská vědecká knihovna v Liberci, Rumjancevova 1362/1, 460 01 Liberec I - Staré Město;"50°46'17.866"", 15°3'30.982""";
Liberecký kraj;Lomnice nad Popelkou;WC (1E). Veřejné WC, Antala Staška, mezi čp. 32 a 184, 512 51 Lomnice nad Popelkou;;
Liberecký kraj;Nový Bor;WC (1E). Hypermarket Kaufland, Bedřicha Egermanna 881, 473 01 Nový Bor;"50°45'58.557"", 14°32'42.114""";
Liberecký kraj;Nový Bor;WC (1E). Železniční stanice Nový Bor, Nádražní, 473 01 Nový Bor;"50°45'38.507"", 14°32'50.518""";
Liberecký kraj;Plavy;WC (1E). Čerpací stanice Benzina, 468 46 Plavy (E65), č.p. 23;"50°42'32.677"", 15°18'56.046""";
Liberecký kraj;Semily - Podmoklice;WC (1E). Železniční stanice Semily, Nádražní 95, 513 01 Semily - Podmoklice;"50°36'12.355"", 15°19'25.495""";
Liberecký kraj;Sychrov;WC (1E). Státní zámek Sychrov čp. 1, toalety na nádvoří, 463 44 Sychrov;"50°37'34.772"", 15°5'20.241""";toalety na nádvoří
Liberecký kraj;Sychrov;WC (1E). Státní zámek Sychrov čp. 3, zámecká restaurace, 463 44 Sychrov;"50°37'34.772"", 15°5'20.241""";zámecká restaurace
Liberecký kraj;Tanvald;WC (1E). Železniční stanice Tanvald zastávka, U Zastávky 324, 468 41 Tanvald;"50°44'13.02"", 15°18'19.073""";
Liberecký kraj;Tanvald;WC (1E). Železniční stanice Tanvald, Krkonošská 256, 468 41 Tanvald;"50°44'36.351"", 15°18'39.638""";
Liberecký kraj;Turnov;WC (1E). Železniční stanice Turnov - Město, Sobotecká 560, 511 01 Turnov;"50°34'46.796"", 15°9'7.426""";
Liberecký kraj;Vítkovice v Krkonoších;WC (1E). Parkoviště na Horních Mísečkách u lanové dráhy, 512 38 Vítkovice v Krkonoších;"50°44'0.996"", 15°34'2.549""";
Liberecký kraj;Vítkovice v Krkonoších;WC (1E). Vrbatova bouda, WC v přístavbě, 512 38 Vítkovice v Krkonoších;"50°45'3.916"", 15°32'55.045""";WC v přístavbě
Liberecký kraj;Železný Brod;WC (1E). Čerpací stanice Benzina, Štefánikova, 468 22 Železný Brod;"50°38'52.315"", 15°15'18.062""";
Královéhradecký kraj;Česká Skalice;WC (1E). Penzion Viktorka v Babiččině údolí, Ratibořice 12, 552 03 Česká Skalice;"50°25'14.713"", 16°3'12.439""";
Královéhradecký kraj;Doudleby nad Orlicí;WC (1E). Železniční stanice Doudleby nad Orlicí, Rudé armády 157, 517 42 Doudleby nad Orlicí;"50°6'33.777"", 16°15'31.915""";
Královéhradecký kraj;Dvůr Králové nad Labem;WC (1E). Hypermarket Kaufland, 17. listopadu 3111, 544 01 Dvůr Králové nad Labem;"50°25'38.665"", 15°49'3.514""";
Královéhradecký kraj;Hořice;WC (1E). Autobusové nádraží Hořice, Aloise Jilemnického 2290, 508 01 Hořice;"50°22'2.344"", 15°37'47.231""";
Královéhradecký kraj;Hořice;WC (1E). Poliklinika II., Husova 321, 508 01 Hořice;"50°21'53.314"", 15°37'53.937""";
Královéhradecký kraj;Hostinné;WC (1E). Železniční stanice Hostinné, Kaštanová 290, 543 71 Hostinné;"50°32'11.461"", 15°44'15.623""";
Královéhradecký kraj;Hradec Králové;WC (1E). Čerpací stanice OMV Hradec Králové, Pilnáčkova, 500 03 Hradec Králové;"50°13'4.383"", 15°50'1.163""";
Královéhradecký kraj;Hradec Králové;WC (1E). Čerpací stanice OMV Hradec Králové, Sokolská 2a, 500 12 Hradec Králové;"50°12'1.568"", 15°50'8.585""";
Královéhradecký kraj;Hradec Králové;WC (1E). Hobby market OBI Hradec Králové, Akademika Bedrny 383/10a, 500 03 Hradec Králové;"50°13'5.916"", 15°49'57.119""          ";
Královéhradecký kraj;Hradec Králové;WC (2E). Hypermarket Kaufland, Pilnáčkova 436/11, 500 03 Hradec Králové;"50°13'3"", 15°50'21.085""";
Královéhradecký kraj;Hradec Králové;WC (1E). Hypermarket Makro Cash & Carry, Hradubická 181, 500 03 Hradec Králové ;"50°10'45.340"", 15°48'2.657""";
Královéhradecký kraj;Hradec Králové;WC (1E). Kemp Stříbrný rybník, Malšova Lhota, 500 09 Hradec Králové;"50°12'11.91"", 15°53'39.98""";
Královéhradecký kraj;Hradec Králové;WC (1E). Klinika Hradec Králové, Bratří Štefanů 895/1, 500 03 Hradec Králové;"50°12'59.931"", 15°51'14.629""";
Královéhradecký kraj;Hradec Králové;WC (6E). Kongresové centrum Aldis, Eliščino nábřeží 375/1, 500 03 Hradec Králové;"50°12'54.151"", 15°49'44.757""";
Královéhradecký kraj;Hradec Králové;WC (1E). Orlice park shopping, Víta Nejedlého 1063, 500 03 Hradec Králové;"50°12'43.742""N, 15°51'11.671""E";
Královéhradecký kraj;Hradec Králové;WC (2E). Parkovací dům Jana Gayera, Šimkova 1292, 500 03 Hradec Králové;"50°12'47.438"", 15°49'57.495""";
Královéhradecký kraj;Hradec Králové;WC (1E). Parkovací dům Katschnerka, Wonkova 1254/5, 500 02 Hradec Králové;"50°12'54.482"", 15°49'14.599""";
Královéhradecký kraj;Hradec Králové;WC (1E). RegioCentrum Nový pivovar – administrativní centrum, Pivovarské náměstí 1245/2, 500 03 Hradec Králové;"50°12'30.522"", 15°49'46.29""";
Královéhradecký kraj;Hradec Králové;WC (2E). Terminál hromadné dopravy – budova dálkové dopravy, Nádražní 1703, 500 02 Hradec Králové;"50°12'59.943"", 15°48'48.484""";
Královéhradecký kraj;Hradec Králové;WC (2E). Terminál hromadné dopravy – budova MHD, Nádražní 1704, 500 02 Hradec Králové;"50°13'0.149"", 15°48'44.854""";
Královéhradecký kraj;Hradec Králové;WC (1E). Úřad práce ČR Hradec Králové, Wonkova 1142, 502 00 Hradec Králové;"50°13'0.881"", 15°49'18.926""";
Královéhradecký kraj;Hradec Králové;WC (1E). Veřejné WC, Šimkovy sady, Buzulecká , 500 03 Hradec Králové;"50°12'53.608"", 15°50'15.835""";
Královéhradecký kraj;Hradec Králové;WC (1E). Železniční stanice Hradec Králové, Riegrovo náměstí 914/2, 500 02 Hradec Králové - Pražské Předměstí;"50°12'51.772"", 15°48'38.999""";
Královéhradecký kraj;Hronov;WC (1E). Jiráskovo muzeum v Hronově, Jiráskovo divadlo, Náměstí Čs. Armády 500, 549 31 Hronov;"50°28'48.85"", 16°10'59.143""";
Královéhradecký kraj;Chlumec nad Cidlinou;WC (1E). Železniční stanice Chlumec nad Cidlinou, Nádražní 133, 503 51 Chlumec nad Cidlinou;"50°9'47.592"", 15°27'26.151""";
Královéhradecký kraj;Janské Lázně;WC (1E). Multifunkční objekt – veřejné WC, náměstí Svobody, 542 25 Janské Lázně;"50°37'46.621"", 15°47'8.325""";
Královéhradecký kraj;Jaroměř;WC (1E). Hypermarket Kaufland, Dolecká 970, 551 01 Jaroměř;"50°20'45.74"", 15°54'23.345""";
Královéhradecký kraj;Jičín;WC (1E). Hypermarket Kaufland, Riegrova 1148, 506 01 Jičín;"50°25'55.382"", 15°21'19.759""";
Královéhradecký kraj;Jičín;Plošina (2E). Kulturní zařízení města Jičína – Masarykovo divadlo, Husova 206, 506 01 Jičín;"50°26'8.585"", 15°21'28.817""";
Královéhradecký kraj;Jičín;WC (1E). Městský úřad Jičín, 17. listopadu 16, 506 01 Jičín;"50°26'5.283"", 15°20'58.361""";
Královéhradecký kraj;Jičín;WC (1E). Městský úřad Jičín, Žižkovo náměstí 18, 506 01 Jičín;"50°26'13.57"", 15°21'15.169""";
Královéhradecký kraj;Kostelec nad Orlicí;WC (1E). Železniční stanice Kostelec nad Orlicí - město, 517 41 Kostelec nad Orlicí;"50°7'11.552"", 16°12'18.172""";
Královéhradecký kraj;Kunčice nad Labem;WC (1E). Železniční stanice Kunčice nad Labem, Kunčice nad Labem 66, 543 61 Kunčice nad Labem;"50°35'1.432"", 15°37'21.143""";
Královéhradecký kraj;Lázně Bělohrad;WC (1E). Železniční stanice Lázně Bělohrad, Nádražní 119, 507 01 Lázně Bělohrad;"50°25'34.850"", 15°34'38.828""";
Královéhradecký kraj;Náchod;WC (1E). Hypermarket Kaufland, Polská 379, 547 01 Náchod;"50°25'26.137"", 16°11'29.302""";
Královéhradecký kraj;Náchod;WC (1E). Veřejné WC, Masarykovo náměstí 40, 547 01 Náchod;"50°24'59.502"", 16°9'48.514""";
Královéhradecký kraj;Náchod;WC (1E). Železniční stanice Náchod, Kladská 128, 547 01 Náchod;"50°25'2.988"", 16°10'15.53""";
Královéhradecký kraj;Nová Paka;WC (1E). Autobusové nádraží, Kotíkova 1920, 509 01 Nová Paka;"50°29'42.224"", 15°31'5.62""";
Královéhradecký kraj;Nová Paka;WC (1E). Veřejné WC, Masarykovo náměstí, 509 01 Nová Paka;"50°29'39.450"", 15°31'2.170""";
Královéhradecký kraj;Nové Město nad Metují;WC (1E). Městská knihovna, přízemí, Komenského 30, 549 01 Nové Město nad Metují;"50°21'2.467"", 16°9'0.879""";přízemí
Královéhradecký kraj;Nové Město nad Metují;WC (1E). Veřejné WC Farská zahrada, ulice Českých legií, 549 01 Nové Město nad Metují;;
Královéhradecký kraj;Nové Město nad Metují;WC (1E). Veřejné WC Rychta, ulice T. G. Masaryka, 549 01 Nové Město nad Metují;"50°21'6.682"", 16°9'2.953""";
Královéhradecký kraj;Nové Město nad Metují;WC (1E). Veřejné WC, Husovo náměstí 1246, 549 01 Nové Město nad Metují;"50°20'37.966"", 16°9'11.204""";
Královéhradecký kraj;Nový Bydžov;WC (1E). Úřad práce ČR Nový Bydžov, Jos. Jungmanna 1533, 504 01 Nový Bydžov;"50°14'38.014"", 15°29'15.337""";
Královéhradecký kraj;Nový Bydžov;WC (1E). Železniční stanice Nový Bydžov, Dr. M. Horákové 1913, 504 01 Nový Bydžov;"50°14'41.285"", 15°29'10.307""";
Královéhradecký kraj;Police nad Metují;WC (1E). Pellyho domy - CKVS, Masarykovo náměstí 75, 549 54 Police nad Metují;"50°32'9.884"", 16°14'1.310""";
Královéhradecký kraj;Potštejn;WC (2E). Železniční stanice Potštejn, K Nádraží 136, 517 43 Potštejn;"50°5'1.449"", 16°18'54.301""";
Královéhradecký kraj;Rychnov nad Kněžnou;WC (1E). Hypermarket Kaufland, Štemberkova 1640, 516 01 Rychnov nad Kněžnou;"50°9'27.025"", 16°16'31.221""";
Královéhradecký kraj;Trutnov;WC (1E). Autobusové nádraží Trutnov, 541 01 Trutnov;"50°33'52.564"", 15°54'33.296""";
Královéhradecký kraj;Trutnov;WC (1E). Hobby market OBI Trutnov, Obchodní 134, 541 01 Trutnov;"50°34'19.524"", 15°53'38.255""";
Královéhradecký kraj;Trutnov;WC (1E). Hypermarket Kaufland, Horská 647, 541 01 Trutnov;"50°35'1.01"", 15°53'26.182""";
Královéhradecký kraj;Trutnov;WC (1E). Městský úřad Trutnov, Horská 932, 541 01 Trutnov;"50°34'14.443"", 15°53'50.571""";
Královéhradecký kraj;Trutnov;WC (2E). Městský úřad Trutnov, Slovanské náměstí 165, 541 16 Trutnov;"50°33'42.104"", 15°54'57.772""";
Královéhradecký kraj;Trutnov;Plošina + WC (5E). UFFO Společenské centrum Trutnov, Nám. Republiky 999, 541 01 Trutnov;"50°33'48.175"", 15°54'37.202""";
Královéhradecký kraj;Trutnov;WC (2E). Železniční stanice Trutnov hlavní nádraží, Říční 56, 541 01 Trutnov - Střední Předměstí ;"50°33'54.23"", 15°54'38.611""";
Královéhradecký kraj;Třebechovice pod Orebem;WC (1E). Železniční stanice Třebechovice pod Orebem, Třebechovice pod Orebem č.p. 502, 503 46 Třebechovice pod Orebem;"50°12'0.664"", 15°58'56.692""";
Královéhradecký kraj;Týniště nad Orlicí;WC (1E). Železniční stanice Týniště nad Orlicí, Nádraží 345, 517 21 Týniště nad Orlicí;"50°9'16.828"", 16°4'25.897""";
Královéhradecký kraj;Vrchlabí;WC (2E). Hypermarket Kaufland, Lánovská 1656, 543 01 Vrchlabí;"50°37'14.788"", 15°37'27.819""";
Královéhradecký kraj;Vrchlabí;WC (1E). Veřejné koupaliště s kempem, Vrchlabí 1627, 543 01 Vrchlabí;"50°37'2.944"", 15°35'58.853""";
Královéhradecký kraj;Vrchlabí;WC (1E). WC v kiosku, Nábřeží Marie Kubátové, 543 01 Vrchlabí;"50°37'40.218"", 15°36'44.211""";
Královéhradecký kraj;Vrchlabí;WC (2E). WC v podzemních garážích, Náměstí T. G. Masaryka, 543 01 Vrchlabí;"50°37'40.512"", 15°36'36.215""";
Pardubický kraj;Brandýs nad Orlicí;WC (1E). Železniční stanice Brandýs nad Orlicí, Nádražní 218, 561 12 Brandýs nad Orlicí *;"50°0'1.282"", 16°17'2.868""";
Pardubický kraj;Česká Třebová;WC (1E). Hypermarket Kaufland, Dr. Edvarda Beneše 692, 560 02 Česká Třebová;"49°54'43.773"", 16°26'25.544""";
Pardubický kraj;Česká Třebová;WC (1E). Veřejné WC, Na Splavě 134, 560 02 Česká Třebová;"49°54'2.323"", 16°26'40.342""";
Pardubický kraj;Dlouhoňovice;WC (1E). Železniční stanice Žamberk, Nádražní 65, 564 01 Dlouhoňovice;"50°4'26.168"", 16°27'0.770""";
Pardubický kraj;Dolní Roveň;WC (1E). Čerpací stanice Shell Dolní Roveň odpočívka D35 – směr Hradec Králové;"50°1'5.461"", 15°58'26.105""";odpočívka D35 – směr Hradec Králové
Pardubický kraj;Dolní Roveň;WC (1E). Čerpací stanice Shell Dolní Roveň odpočívka D35 – směr Vysoké Mýto;"50°0'57.988"", 15°58'31.385""";odpočívka D35 – směr Vysoké Mýto
Pardubický kraj;Hlinsko;WC (1E). Veřejné WC Betlém Hlinsko, Čelakovského, 539 01 Hlinsko;"49°45'42.687"", 15°54'24.163""";
Pardubický kraj;Holice;WC (2E). Železniční stanice Holice, Puškinova 331, 534 01 Holice;"50°4'9.432"", 15°59'34.443""";
Pardubický kraj;Choceň;WC (1E). Veřejné WC, parkoviště za radnicí, Jungmannova 301, 565 01 Choceň;"50°0'3.274"", 16°13'27.829""";
Pardubický kraj;Chrast;WC (1E). Stadion Chrast, Mírové nám. 453, 538 51 Chrast;"49°53'52.182"", 15°56'34.514""";
Pardubický kraj;Chrast;WC (1E). WC na nádvoří zámku, Náměstí 1, 538 51 Chrast;"49°54'3.513"", 15°56'13.716""";
Pardubický kraj;Chrudim;WC (1E). Hypermarket Kaufland, Slovenského národního povstání 1081, 537 01 Chrudim;"49°56'51.503"", 15°48'38.128""";
Pardubický kraj;Chrudim;WC (1E). Městský úřad Chrudim, Pardubická 67, 537 16 Chrudim;"49°57'14.512"", 15°47'25.267""";
Pardubický kraj;Chrudim;WC (2E). OC Family Centrum Chrudim, Slovenského národního povstání 1079, 537 05 Chrudim;"49°56'46.248"", 15°48'33.492""";
Pardubický kraj;Chrudim;WC (1E). Rekreační lesy Podhůra, zázemí u rozhledny Bára;"49°54'57.557"", 15°46'51.733""";zázemí u rozhledny Bára
Pardubický kraj;Chrudim;WC (1E). Železniční stanice Chrudim - výpravní budova, Čs. Armády 174, 537 01 Chrudim;"49°56'54.089"", 15°47'13.527""";výpravní budova
Pardubický kraj;Chvaletice;WC (1E). Dům kultury, U Kulturního domu 158, 533 12 Chvaletice;"50°2'3.423"", 15°24'43.082""";
Pardubický kraj;Chvaletice;WC (1E). Městský úřad Chvaletice, U Stadionu 237, 533 12 Chvaletice;"50°2'2.858"", 15°25'6.758""";
Pardubický kraj;Chvaletice;WC (1E). Železniční zastávka Chvaletice, Nádražní 416, 533 12 Chvaletice;"50°2'14.330"", 15°25'7.104""";
Pardubický kraj;Lanškroun;WC (1E). Autobusové nádraží Lanškroun, Nádražní 165, 563 01 Lanškroun;"49°54'33.088"", 16°36'28.044""";
Pardubický kraj;Lanškroun;WC (2E). Hypermarket Kaufland, Dvořákova 1161, 563 01 Lanškroun;"49°54'40.963"", 16°36'8.12""";
Pardubický kraj;Lanškroun;WC (1E). Městský úřad Lanškroun - veřejné WC, Nám. J. M. Marků 5, 563 01 Lanškroun;"49°54'43.857"", 16°36'42.289""";veřejné WC
Pardubický kraj;Lanškroun;WC (1E). Přírodní koupaliště Lanškroun, T. G. Masaryka, 563 01 Lanškroun;"49°55'8.628"", 16°35'32.051""";
Pardubický kraj;Lanškroun;Plošina (2E). Sportovní hala B. Modrého, Za Střelnicí 501, 563 01 Lanškroun;"49°55'5.623"", 16°36'0.865""";
Pardubický kraj;Lanškroun;WC (1E). Veřejné WC, Pivovarské nám., 563 01 Lanškroun;;
Pardubický kraj;Litomyšl;WC (1E). Areál Zámeckého návrší (bývalé stáje), Jiráskova, 570 01 Litomyšl;;
Pardubický kraj;Litomyšl;WC (1E). Autobusové nádraží Litomyšl, Mařákova 1087, 570 01 Litomyšl;"49°51'58.824"", 16°18'40.281""";
Pardubický kraj;Litomyšl;WC (1E). Autobusové nádraží Litomyšl, T. G. Masaryka 1204, 570 01 Litomyšl;"49°51'59.357"", 16°18'39.47""";
Pardubický kraj;Litomyšl;Výtah (2E). Výtah u nadchodu (lávky) přes silnici 1/35 (u polikliniky Litomyšl), 570 01 Litomyšl;"49°52'12.929"", 16°18'31.932""";
Pardubický kraj;Litomyšl;Plošina (4E). ZŠ Litomyšl – školní jídelna, U Školek 1117, 570 01 Litomyšl;"49°52'14.283"", 16°18'22.410""";
Pardubický kraj;Luková;WC (1E). Kulturní dům, Luková 97, 561 23 Luková;"49°52'21.723"", 16°35'47.320""";
Pardubický kraj;Moravská Třebová;WC (2E). Aquapark, Tyršova 240/41, 571 01 Moravská Třebová;"49°45'55.330"", 16°39'40.579""";
Pardubický kraj;Moravská Třebová;WC (1E). Autobusové nádraží Moravská Třebová, Komenského 1413, 571 01 Moravská Třebová;"49°45'37.509"", 16°39'49.761""";
Pardubický kraj;Moravská Třebová;WC (1E). Městský úřad Moravská Třebová, Olomoucká 2, 571 01 Moravská Třebová;"49°45'35.263"", 16°39'56.828""";
Pardubický kraj;Moravská Třebová;WC (1E). Zámek Moravská Třebová, Zámecké náměstí 1, 571 01 Moravská Třebová;"49°45'25.662"", 16°39'57.831""";
Pardubický kraj;Moravská Třebová;WC (1E). Zimní stadion, Nádražní 1145/12, 571 01 Moravská Třebová;"49°45'58.145"", 16°39'37.689""";
Pardubický kraj;Nasavrky;2x Plošina (4E). Podchod pod rychlostní komunikací č. 37, 538 25 Nasavrky ;;
Pardubický kraj;Pardubice;WC (1E). Hobby market UNI HOBBY Pardubice, kpt. Bartoše 2777, 530 02 Pardubice;"50°2'10.189"", 15°45'9.224""";
Pardubický kraj;Pardubice II. - Višňovka;WC (2E). Hypermarket Kaufland , S.K. Neumanna 2819, 533 01 Pardubice II. - Višňovka;"50°1'33.657"", 15°46'46.632""";
Pardubický kraj;Pardubice - Rosice;WC (1E). Hypermarket Kaufland, Bělehradská 628, 530 02 Pardubice - Rosice;"50°2'50.197"", 15°45'2.095""";
Pardubický kraj;Pardubice;WC (1E). Klinika Pardubice, Karla Šípka 282, 530 09 Pardubice;"50°3'10.400"", 15°45'32.994""";
Pardubický kraj;Pardubice;WC (1E). Obchodní centrum Grand, náměstí Republiky 1400, 530 02 Pardubice;"50°2'16.850"", 15°46'35.033""";
Pardubický kraj;Pardubice;WC (1E). Ordinace praktického lékaře, interna a diabetologie, Masarykovo náměstí 2667, 530 02 Pardubice;"50°2'16.69"", 15°46'0.798""";
Pardubický kraj;Pardubice;WC (1E). Poliklinika, Masarykovo nám. 2667, 530 02 Pardubice;"50°2'16.69"", 15°46'0.798""";
Pardubický kraj;Pardubice;WC (1E). Univerzita Pardubice, Studentská 519, 532 10 Pardubice;"50°2'57.614"", 15°46'0.191""";
Pardubický kraj;Pardubice;WC (1E). Veřejné WC, Bubeníkovy sady, 530 02 Pardubice;"50°2'12.903"", 15°47'2.373""";
Pardubický kraj;Pardubice – Pardubičky 33;Plošina (3E). Železniční zastávka Pardubice – Pardubičky, II. nástupiště, 532 03 Pardubice – Pardubičky 33;"50°1'51.507"", 15°47'20.379""";II. nástupiště
Pardubický kraj;Polička;Plošina + WC (3E). Městský úřad Polička, Nádražní 304, 572 01 Polička;"49°43'4.728"", 16°15'50.785""";
